arr? is_arr
bool? is_bool
char->str char_to_str
chars->str chars_to_str
cond-fun cond_fun
empty? is_empty
exearr? is_exearr
find-from find_from
find-from find_from
and all_and
or all_or
flt? is_flt
image-height image_height
image-width image_width
int? is_int
key-get key_get
key-set key_set
key-update key_update
load-value load_value
lower-case lower_case
nil? is_nil
num? is_num
obj? is_obj
params? is_params
path-key-set path_key_set
path-set path_set
path-update path_update
PI pi
rand-flt rand_flt
rand-int rand_int
rand-seed rand_seed
read-char read_char
read-flt read_flt
read-image-url read_image_url
read-int read_int
read-line read_line
read-url read_url
remove-at remove_at
remove-at remove_at
replace-all replace_all
replace-first replace_first
show-image show_image
stack-count stack_count
store-value store_value
str->chars str_to_chars
str? is_str
sym? is_sym
test!= test_neq
test= test_eq
time-millis time_millis
update-lam update_lam
upper-case upper_case
